County_and_Quarter,X,County.x,Quarter,Petition_for_Modification,FTA_Warrant,Prison,Probation,Straight_1170h,Split_1170h,Probation_Petition,MS_Petition,PRCS_Petition,Parole_Petition,County.y,Name,Decarceratory,Did_Incumbent_Seek_Reelection,If_Sought_Did_Incumbent_Win,Contested,Election_Year,Notes...election.years...2014..2018..2022.with.New.DA.coming.in.Q1.after..,Total_Sentences,Percentage_Prison,Percentage_Probation,Percentage_Split,Percentage_Straight
Amador_ 2017 Q2 Court,100,Amador, 2017 Q2 Court,119,26,28,23,NA,NA,37,2,8,1,Amador,Todd Riebe,1,1,1,0,0,,NA,NA,NA,NA,NA
Amador_ 2017 Q3 Court,101,Amador, 2017 Q3 Court,144,21,31,25,0,0,34,0,4,4,Amador,Todd Riebe,1,1,1,0,0,,56,55.35714286,44.64285714,0,0
Amador_ 2017 Q4 Court,102,Amador, 2017 Q4 Court,125,26,37,10,NA,NA,28,1,10,NA,Amador,Todd Riebe,1,1,1,0,0,,NA,NA,NA,NA,NA
Amador_ 2018 Q1 Court,103,Amador, 2018 Q1 Court,103,16,30,30,0,0,22,3,7,1,Amador,Todd Riebe,1,1,1,0,0,,60,50,50,0,0
Amador_ 2018 Q2 Court,104,Amador, 2018 Q2 Court,144,24,34,22,0,0,29,1,7,1,Amador,Todd Riebe,1,1,1,0,0,,56,60.71428571,39.28571429,0,0
Amador_ 2018 Q3 Court,105,Amador, 2018 Q3 Court,138,14,39,26,0,0,30,1,5,1,Amador,Todd Riebe,1,1,1,0,1,,65,60,40,0,0
Amador_ 2018 Q4 Court,106,Amador, 2018 Q4 Court,98,15,41,15,1,0,21,0,6,0,Amador,Todd Riebe,1,1,1,0,1,,57,71.92982456,26.31578947,0,1.754385965
Amador_ 2019 Q1 Court,107,Amador, 2019 Q1 Court,123,22,32,19,0,0,18,0,4,0,Amador,Todd Riebe,1,1,1,0,0,,51,62.74509804,37.25490196,0,0
Amador_ 2019 Q2 Court,108,Amador, 2019 Q2 Court,141,24,34,15,0,0,23,0,3,0,Amador,Todd Riebe,1,1,1,0,0,,49,69.3877551,30.6122449,0,0
Amador_ 2019 Q3 Court,109,Amador, 2019 Q3 Court,189,19,30,18,0,0,32,0,6,1,Amador,Todd Riebe,1,1,1,0,0,,48,62.5,37.5,0,0
Amador_ 2019 Q4 Court,110,Amador, 2019 Q4 Court,143,15,45,26,0,0,26,1,8,1,Amador,Todd Riebe,1,1,1,0,0,,71,63.38028169,36.61971831,0,0
Amador_ 2020 Q1 Court,111,Amador, 2020 Q1 Court,139,22,55,19,0,0,38,2,7,1,Amador,Todd Riebe,1,1,1,0,0,,74,74.32432432,25.67567568,0,0
Amador_ 2020 Q2 Court,112,Amador, 2020 Q2 Court,116,9,10,14,0,0,24,1,2,0,Amador,Todd Riebe,1,1,1,0,0,,24,41.66666667,58.33333333,0,0
Amador_ 2020 Q3 Court,113,Amador, 2020 Q3 Court,178,45,26,27,0,0,31,1,7,1,Amador,Todd Riebe,1,1,1,0,0,,53,49.05660377,50.94339623,0,0
Amador_ 2020 Q4 Court,114,Amador, 2020 Q4 Court,135,34,12,12,0,0,27,2,7,1,Amador,Todd Riebe,1,1,1,0,0,,24,50,50,0,0
Amador_ 2021 Q1 Court,115,Amador, 2021 Q1 Court,158,38,24,18,0,0,36,1,8,0,Amador,Todd Riebe,1,1,1,0,0,,42,57.14285714,42.85714286,0,0
Amador_ 2021 Q2 Court,116,Amador, 2021 Q2 Court,145,58,32,11,0,0,35,1,6,1,Amador,Todd Riebe,1,1,1,0,0,,43,74.41860465,25.58139535,0,0
Amador_ 2021 Q3 Court,117,Amador, 2021 Q3 Court,161,42,26,27,0,0,17,0,5,1,Amador,Todd Riebe,1,1,1,0,0,,53,49.05660377,50.94339623,0,0
Amador_ 2021 Q4 Court,118,Amador, 2021 Q4 Court,109,32,34,27,0,0,27,1,3,0,Amador,Todd Riebe,1,1,1,0,0,,61,55.73770492,44.26229508,0,0
Amador_ 2022 Q1 Court,119,Amador, 2022 Q1 Court,119,26,24,12,0,0,8,0,3,1,Amador,Todd Riebe,1,1,1,0,0,,36,66.66666667,33.33333333,0,0
Amador_ 2022 Q2 Court,120,Amador, 2022 Q2 Court,98,32,29,23,NA,NA,12,1,6,NA,Amador,Todd Riebe,1,1,1,0,0,,NA,NA,NA,NA,NA
Amador_ 2022 Q3 Court,121,Amador, 2022 Q3 Court,118,51,24,29,0,2,14,0,5,3,Amador,Todd Riebe,1,1,1,0,1,,55,43.63636364,52.72727273,3.636363636,0
Amador_ 2022 Q4 Court,122,Amador, 2022 Q4 Court,140,36,21,14,0,0,5,3,5,0,Amador,Todd Riebe,1,1,1,0,1,,35,60,40,0,0
Amador_ 2023 Q1 Court,123,Amador, 2023 Q1 Court,90,42,13,43,3,2,18,2,4,2,Amador,Todd Riebe,1,1,1,0,0,,61,21.31147541,70.49180328,3.278688525,4.918032787
Butte_ 2013 Q1 Court,124,Butte, 2013 Q1 Court,597,274,88,172,49,6,14,4,49,0,Butte,Michael L. Ramsey,0,1,1,0,0,,315,27.93650794,54.6031746,1.904761905,15.55555556
Butte_ 2013 Q2 Court,125,Butte, 2013 Q2 Court,591,231,78,179,54,17,34,3,63,0,Butte,Michael L. Ramsey,0,1,1,0,0,,328,23.7804878,54.57317073,5.182926829,16.46341463
Butte_ 2013 Q3 Court,126,Butte, 2013 Q3 Court,581,251,94,190,56,27,40,1,62,28,Butte,Michael L. Ramsey,0,1,1,0,0,,367,25.61307902,51.77111717,7.356948229,15.25885559
